Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Rivigo,$65.00,11/07/2019,Delhi,E-commerce,Series E,https://entrackr.com/2019/07/rivigo-raises-65-mn-warburg-pincus-saif/,Warburg Pincus;SAIF Partners
Samsung VC,$5.75,10/07/2019,Mumbai,General,Series B,https://entrackr.com/2019/07/indus-raise-samsung-vc/,
Headfone,$4.16,09/07/2019,Bengaluru,General,Seed,https://yourstory.com/2019/07/startup-funding-social-audio-platform-headfone-fosun-rz-capital,Fosun RZ Capital;Fosun RZ Capita
Udaan,$4.12,09/07/2019,Bengaluru,E-commerce,Series C,https://yourstory.com/2019/07/funding-b2b-ecommerce-startup-udaan-trustroot-internet,Equanimity Ventures
NiYO,$35.00,09/07/2019,Bengaluru,Fintech,Series B,https://yourstory.com/2019/07/fintech-startup-niyo-funding-tencent-horizons-ventures-js-capital,Horizons Ventures;Tencent;JS Capital LLC
BYJU'S,$150.00,10/07/2019,Bengaluru,Edtech,Acquisition,https://yourstory.com/2019/07/funding-unicorn-byjus-150-million-qatar-investment,Qatar Investment Authority;Qatar Investment Authority (QIA);Owl Ventures
HealthAssure,$2.50,10/07/2019,Mumbai,Healthtech,Pre-Series A,https://yourstory.com/2019/07/startup-funding-healthassure-blume-ventures,Blume Ventures
Ezyhaul,$16.00,10/07/2019,India,Logistics,Series B,https://yourstory.com/2019/07/funding-logistics-tech-startup-ezyhaul,Fosun RZ Capital
Moglix,$60.00,11/07/2019,Noida,Fintech,Series C,https://yourstory.com/2019/07/startup-funding-moglix-series-d-tiger-global-sequoia-composite-capital,Tiger;Sequoia;Composite Capital;Tiger Global;Accel Partners;Jungle Ventures;IFC;Venture Highway
Emotix,$2.23,12/07/2019,Bengaluru,Deeptech & AI,Pre-Series A,https://yourstory.com/2019/07/funding-alert-robotics-startup-emotix-chiratae-ventures,Chiratae Ventures;YourNest in April 2018
BYJU's,$340.00,12/07/2019,Bengaluru,Fintech,Series B,https://yourstory.com/2019/07/weekly-funding-india-startup-ecosystem-byjus,Qatar Investment Authority (QIA);Tiger Global;Horizons Ventures;Tencent;JS Capital LLC;Falcon Edge Capital;Sequoia India;Composite Capital;Owl Ventures
Board Infinity,$0.26,08/07/2019,Mumbai,Edtech,,https://yourstory.com/2019/07/startup-mumbai-edtech-board-infinity-angel-funding,
