Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Groww,$21.40,19/09/2019,Bengaluru,Fintech,Series A,https://entrackr.com/2019/09/groww-raises-21-4-mn-led-by-ribbit-capital/,Ribbit Capital;US-based fintech fund Ribbit Capital;Sequoia India;Y Combinator in the latest round
Aye Finance,$9.58,17/09/2019,Gurugram,Fintech,Series B,https://yourstory.com/2019/09/startup-debt-funding-fintech-lender-aye-finance,Fullerton Financial Holdings Pte Ltd (“FFH”);Bertelsmann India Investments
Meddo,$3.00,17/09/2019,Gurugram,General,Pre-Series A,https://yourstory.com/2019/09/startup-funding-meddo-healthcare-sri-capital-growx-letsventure,SRI Capital;IAN
NestAway Technologies,$4.18,17/09/2019,Bengaluru,General,Series D,https://yourstory.com/2019/09/startup-funding-alert-nestaway-technologies-goldman-sachs,
Volkswagen Finance,$20.00,18/09/2019,Chennai,General,Pre-Series A,https://yourstory.com/2019/09/funding-volkswagen-finance-kuwy-technology-startups,Venture Catalysts;Alteria Capital
Zoomcar,$1.98,18/09/2019,Bengaluru,EV & Mobility,Debt,https://yourstory.com/2019/09/self-drive-startup-funding-zoomcar-drivezy-ola,
Square Yards,$20.00,19/09/2019,Gurugram,Proptech,Debt,https://yourstory.com/2019/09/startup-funding-square-yards-bccl-genkai-propertyguru,Bennett Coleman;Co Limited (BCCL);Genkai Capital;Founders of PropertyGuru - Steve Melhuish;Jani Rautiainen;Koh Boon Hwee;Singtel;DBS
Momo Foods,$23.00,19/09/2019,Kolkata,General,Series B,https://yourstory.com/2019/09/startup-funding-wow-momo-foods-tiger-global-ian-lighthouse-funds,Tiger Global;Sanjeev Bikhchandani;Saurabh Srivastava;Ashvin Chadha
Satya MicroCapital,$5.99,19/09/2019,India,General,Debt,https://yourstory.com/2019/09/startup-satya-microcapital-ncd-fundraise-aviator-global-northern-arc,
SlicePay,$2.46,19/09/2019,Bengaluru,Fintech,Series B,https://yourstory.com/2019/09/funding-fintech-startup-slicepay-debt,
Spacejoy,$1.00,20/09/2019,Bengaluru,General,Seed,https://yourstory.com/2019/09/startup-funding-myntra-flipkart-execs-spacejoy-accel-partners,
Smart Farms,$2.87,20/09/2019,Gurugram,Agritech,Pre-Series A,https://yourstory.com/2019/09/funding-agritech-startup-smart-farms-angel-investors,
Upstox,$25.00,20/09/2019,Mumbai,Fintech,Series B,https://yourstory.com/2019/09/startup-funding-tiger-global-online-stock-broking-upstox,
LectureNotes,$0.30,20/09/2019,India,Deeptech & AI,,https://yourstory.com/2019/09/funding-bhubaneshwar-edutech-startup-lecturenotes,
AttainU,$0.26,16/09/2019,Bengaluru,Edtech,,https://yourstory.com/2019/09/startup-funding-edtech-startup-attainu-angel-investment,Shailesh Rao
ShoeKonnect,$1.32,16/09/2019,Delhi,Agritech,Pre-Series A,https://yourstory.com/2019/09/startup-funding-b2b-footwear-marketplace-shoekonnect-waterbridge-infoedge,
NestAway,$5.00,16/09/2019,Bengaluru,Fintech,,https://inc42.com/buzz/amid-cofounders-exit-goldman-sachs-invests-5-mn-in-nestaway/,
Blowhorn,$3.80,17/09/2019,Bengaluru,Logistics,Series A,https://inc42.com/buzz/blowhorn-raises-fresh-funding-as-it-eyes-international-expansion/,Venture Catalysts;James Lee Sorenson;Dream Incubator;Japanese VC firm
Upstox,$25.00,21/09/2019,Bengaluru,Fintech,Series A,https://inc42.com/buzz/top-indian-startup-funding-galore-122-september/,India Accelerator raise around INR 30 Mn from Angel Investors
Rebel Foods,$25.00,21/09/2019,Pune,Foodtech,Series D,https://inc42.com/buzz/rebel-foods-raises-25-mn-series-d-funding-from-goldman-sachs-others/,Sequoia;Evolvence
